id,term,term_norm,translation,pali,han,context,priority,source,example
1,dukkha,dukkha,khổ,dukkha,苦,Khổ đế - Tứ Diệu Đế,10,sn56_11,"dukkhaṃ ariyasaccaṃ — Khổ Thánh đế"
2,satipatthana,satipatthana,niệm xứ,satipaṭṭhāna,念处,Tứ Niệm Xứ,10,mn10,"cattāro satipaṭṭhānā — Bốn Niệm Xứ"
3,anicca,anicca,vô thường,anicca,無常,Tam pháp ấn,10,dhammapada_001,"aniccaṃ dukkhaṃ anattā"
4,anatta,anatta,vô ngã,anattā,無我,Tam pháp ấn,10,dhammapada_001,"sabbe dhammā anattā"
5,mindfulness,mindfulness,chánh niệm,sati,正念,Bát Chánh Đạo - sammā-sati,9,mn10,"mindfulness of breathing"
6,samadhi,samadhi,định,samādhi,定,Bát Chánh Đạo - sammā-samādhi,9,sn56_11,"sammā-samādhi"
7,sati,sati,niệm,sati,念,Tứ Niệm Xứ,10,mn10,"sati — niệm"
8,samma samadhi,samma samadhi,chánh định,sammā-samādhi,正定,Bát Chánh Đạo,9,sn56_11,"sammā-samādhi"
9,samma ditthi,samma ditthi,chánh kiến,sammā-diṭṭhi,正見,Bát Chánh Đạo,9,sn56_11,"sammā-diṭṭhi"
10,majjhima patipada,majjhima patipada,trung đạo,majjhimā paṭipadā,中道,Trung đạo,10,sn56_11,"majjhimā paṭipadā"
11,tanhā,tanha,ái dục,taṇhā,渴愛,Tập đế,9,sn56_11,"taṇhā ponobbhavikā"
12,nirodha,nirodha,diệt,nirodha,滅,Diệt đế,9,sn56_11,"dukkhanirodha"
13,magga,magga,đạo,magga,道,Đạo đế,9,sn56_11,"ariya aṭṭhaṅgika magga"
14,karuna,karuna,từ bi,karuṇā,慈悲,Tứ vô lượng tâm,8,glossary,"karuṇā"
15,metta,metta,từ,mettā,慈,Tứ vô lượng tâm,8,glossary,"mettā"
16,panna,panna,tuệ,paññā,慧,Bát Chánh Đạo,9,glossary,"paññā"
17,sila,sila,giới,sīla,戒,Tam học,9,glossary,"sīla"
18,samsara,samsara,luân hồi,saṃsāra,輪迴,Luân hồi,8,glossary,"saṃsāra"
19,nibbana,nibbana,niết bàn,nibbāna,涅槃,Niết bàn,10,sn56_11,"nibbāna"
20,kamma,kamma,nghiệp,kamma,業,Nghiệp,8,glossary,"kamma"
