"id","nhom","ten","tab_dang_thay_trong_sam_set","entrypoint_hien_tai","route_dich_file","loai_dieu_huong","trang_thai_unavailable_dieu_kien","phat_hien_bang_code","duong_khac_phuc","phu_thuoc","ghi_chu"
"MODE-LISTEN","MODE","NGHE","Tab Nghe (không nằm trong ⚡)","_setListenMode(0)","lib/screens/listen_mode/listen_mode_screen.dart","đổi tab + sub-mode index (IndexedStack)","chưa có audio nào","l10n.listenNoAudio 'Chưa có audio nào'","drawer Thư viện âm thanh (endDrawer) / Thư viện nghe / chọn file trên máy","audio + (tuỳ chọn) file .lrc","mục tiêu: nghe hiểu audio thật theo câu"
"MODE-SPEAK","MODE","NÓI","Tab Nghe › chip Nói (⚡ có id speak_mode)","_setListenMode(1)","lib/screens/listen_mode/speak_mode_screen.dart","đổi sub-mode index","mic chưa cấp quyền / chưa có model STT","SttsCabinService.hasAsrModel / quyền micro","SttModelSettingsScreen (packages/in4up_stt/lib/sherpa_model_manager.dart)","mic + model STT","SHADOW-FILE-001: shadowing không bắt buộc AB"
"MODE-WATCH","MODE","XEM","Tab Nghe › chip Xem (⚡ có id video_player)","_setListenMode(2)","lib/features/video/widgets/video_library_screen.dart","đổi sub-mode index","thư viện video trống","video_library_screen.dart:54 _buildEmptyState 'Chưa có video nào'","nút + trong thư viện -> VideoLibraryService.addVideo","file video trên máy","đích của HOME-STUDIO-001 (thẻ XEM)"
"MODE-READ","MODE","ĐỌC","Tab Đọc (⚡ không có)","_setReadMode(0)","lib/screens/read_mode/read_mode_screen.dart","đổi sub-mode index","chưa có tài liệu","readAddDocument/readEmpty","Thư viện đọc (drawer trái, lib/screens/text_library_drawer.dart) / Thêm tài liệu / PDF-Web reader","file text (TXT/LRC/SRT/MD/JSON/DOCX) hoặc PDF/Web","'Chế độ trải nghiệm' cũ nằm trong read_settings_sheet.dart - GIỮ NGUYÊN"
"MODE-WRITE","MODE","VIẾT","Tab Đọc › chip Viết (⚡ có id write_mode)","_setReadMode(1)","lib/screens/read_mode/write_studio_screen.dart","đổi sub-mode index","chưa có nội dung nguồn / chưa có model AI local","WriteStudioScreen 'Dùng dòng đang focus trong tab Đọc' / facade.lastError","Mở PDF Reader hoặc Web Reader ở writingMode; 'Chấm nhanh' không cần AI","nội dung nguồn + (tuỳ chọn) model GGUF","badge AI chỉ khi người dùng chọn phân tích bằng AI"
"MODE-UNDERSTAND","MODE","HIỂU","Tab Hiểu (⚡ có id understand_tab khi ở tab khác)","_setPrimaryTab(understand)","lib/screens/understand_mode/understand_workspace_screen.dart -> understand_mode_screen.dart","đổi primary tab","thiếu audio hoặc thiếu text","text.hasLyrics + player.currentSongPath","mở tab Nghe (audio) / tab Đọc (text)","audio + text","2 sub-tab: Đồng bộ | Shadowing"
"MODE-REMEMBER","MODE","NHỚ","Tab Nhớ","_setPrimaryTab(remember)","lib/screens/memory_mode/remember_workspace_screen.dart","đổi primary tab","chưa có từ trong WordList","remember_workspace_screen.dart 'Đến hạn'/'Tổng từ'","Word List (lưu từ khi đọc/nghe) / Ôn tập / Thuộc lòng","dữ liệu học của người dùng","5 bước: đến hạn -> ôn -> WordList -> LbH -> Timeline/Thống kê/Map/Triangle/Venn"
"TOOL-TIPITAKA","TOOL","Tipiṭaka (ưu tiên owner)","Home (duy nhất)","_handleTool('tipitaka')","lib/features/tipitaka/screens/library_screen.dart","push MaterialPageRoute","chưa có cơ sở dữ liệu dùng được","TipitakaDb.openReady() ném TipitakaDatabaseException (db_service.dart:83); asset assets/db/tipitaka.sqlite là optional","TipitakaLibraryScreen đã có _MissingDatabaseView -> TipitakaDownloadScreen (import .db/.sqlite hoặc tải gói ngôn ngữ)","DB tipitaka.sqlite + gói ngôn ngữ","KHÔNG disable nút: mở được luôn, thiếu DB thì dẫn tới màn hình khắc phục"
"TOOL-VIDEO-LIB","TOOL","Thư viện video","Home, Nhớ","_handleTool('video_library')","lib/features/video/widgets/video_library_screen.dart","push MaterialPageRoute","thư viện trống","video_library_screen.dart:54 'Chưa có video nào'","VideoLibraryService.addVideo (nút +)","file video trên máy","trùng đích với id video_player"
"TOOL-VIDEO-PLAYER","TOOL","Video (id thứ hai)","Home","_handleTool('video_player')","lib/features/video/widgets/video_library_screen.dart","push MaterialPageRoute","như trên","như trên","như trên","như trên","ID TRÙNG ĐÍCH: WP1 khử trùng khi hiển thị carousel"
"TOOL-DICT","TOOL","Từ điển MDX","Home","_handleTool('dictionary')","lib/features/dictionary/widgets/dict_manager_screen.dart","push MaterialPageRoute","chưa import từ điển","dict_manager_screen.dart:117 'Chưa có từ điển nào'","nút + -> DictImportService (file .mdx)","file .mdx/.mdd","trùng đích với id dict_manager"
"TOOL-DICT-MGR","TOOL","Từ điển MDX (id thứ hai)","Home, Nhớ","_handleTool('dict_manager')","lib/features/dictionary/widgets/dict_manager_screen.dart","push MaterialPageRoute","như trên","như trên","như trên","như trên","ID TRÙNG ĐÍCH"
"TOOL-CABIN","TOOL","Cabin dịch live","Home, Nghe","_handleTool('live_cabin')","lib/features/cabin/screens/live_cabin_screen.dart","push MaterialPageRoute","chưa có model STT cho ngôn ngữ nguồn / mic chưa cấp quyền","SttsCabinService (hasAsrModel) + packages/in4up_stt/lib/sherpa_model_manager.dart","SttModelSettingsScreen (tải/import model Zipformer)","mic + model STT + quyền ghi âm","liên quan CABIN-ASR-002 (đang xử lý ở lane khác)"
"TOOL-YOUTUBE","TOOL","YouTube","Home, Đọc","_handleTool('youtube_downloader')","lib/features/youtube/youtube_sheet.dart","mở bottom sheet","không có mạng","kết quả mạng do sheet xử lý","thử lại khi có mạng","mạng","không push route; đóng sheet trả về tab hiện tại"
"TOOL-WEBREADER","TOOL","Web Reader","Home, Đọc","_handleTool('web_reader')","lib/features/web_reader/web_reader_screen.dart","push MaterialPageRoute","chưa có URL / không có mạng","WebReaderScreen (người dùng nhập URL)","nhập URL khác / kiểm tra mạng","mạng + URL","writingMode=true khi mở từ tab Đọc › Viết"
